Data,BRL/USD,S&P500,XAU/USD,Crude,CPI,IBOV,IPCA
07/01/1994,0.9625,446.2,386.95,17.57,148.4,3581,148.4
07/04/1994,0.935,446.2,386.95,17.47,148.4,3623,148.4
07/05/1994,0.925,446.4,386.05,17.38,148.4,3581,148.4
07/06/1994,0.91,446.1,383.95,17.06,148.4,3564,148.4
07/07/1994,0.908,448.4,384.65,17.08,148.4,3754,148.4
07/08/1994,0.915,449.6,384.5,17.37,148.4,3905,148.4
07/11/1994,0.92,448.1,387.25,17.96,148.4,4052,148.4
07/12/1994,0.915,447.9,385.6,18.26,148.4,4011,148.4
07/13/1994,0.917,448.7,383.6,18.33,148.4,3920,148.4
07/14/1994,0.922,453.4,384.25,18.59,148.4,3841,148.4
07/15/1994,0.93,454.2,386.05,17.77,148.4,4016,148.4
07/18/1994,0.93,455.2,386,17.38,148.4,4080,148.4
07/19/1994,0.93,453.9,386.7,17.49,148.4,4045,148.4
07/20/1994,0.925,451.6,385.6,17.46,148.4,3875,148.4
07/21/1994,0.931,452.6,384.5,17.68,148.4,4039,148.4
07/22/1994,0.934,453.1,385.05,17.84,148.4,4018,148.4
07/25/1994,0.932,454.2,385.1,17.57,148.4,3987,148.4
07/26/1994,0.932,453.4,387.1,17.65,148.4,3994,148.4
07/27/1994,0.935,452.6,387.65,17.89,148.4,4077,148.4
07/28/1994,0.938,454.2,385.35,18.18,148.4,4150,148.4
07/29/1994,0.936,458.3,383.45,18.59,148.4,4255,148.4
08/01/1994,0.926,461,383.7,18.9,149,4201,150.26
08/02/1994,0.916,460.6,379.6,18.51,149,4152,150.26
08/03/1994,0.909,461.4,378.25,18.44,149,4311,150.26
08/04/1994,0.909,458.4,377.85,18.42,149,4392,150.26
08/05/1994,0.91,457.1,377.95,17.86,149,4355,150.26
08/08/1994,0.898,457.9,377.05,17.87,149,4470,150.26
08/09/1994,0.893,457.9,378,17.85,149,4581,150.26
08/10/1994,0.897,460.3,377.6,17.67,149,4558,150.26
08/11/1994,0.897,458.9,378.9,17.49,149,4513,150.26
08/12/1994,0.902,461.9,376.8,16.95,149,4464,150.26
08/15/1994,0.894,461.2,377.65,16.87,149,4547,150.26
08/16/1994,0.895,465,377.45,16.82,149,4651,150.26
08/17/1994,0.897,465.2,377.45,17.04,149,4744,150.26
08/18/1994,0.894,463.2,381.35,16.55,149,4969,150.26
08/19/1994,0.891,463.7,382.15,16.3,149,5027,150.26
08/22/1994,0.883,462.3,381.75,15.76,149,5138,150.26
08/23/1994,0.884,464.5,381.8,15.95,149,5386,150.26
08/24/1994,0.885,469,384,16.35,149,5304,150.26
08/25/1994,0.886,468.1,383.45,16.36,149,5208,150.26
08/26/1994,0.892,473.8,383.55,16.04,149,5355,150.26
08/29/1994,0.888,474.6,386.8,16.04,149,5214,150.26
08/30/1994,0.887,476.1,386.35,16.24,149,5323,150.26
08/31/1994,0.885,475.5,386.25,16.24,149,5380,150.26
09/01/1994,0.883,473.2,387.05,16.27,149.4,5330,151.79
09/02/1994,0.884,471,387.15,16.32,149.4,5437,151.79
09/05/1994,0.89,471,387.2,15.95,149.4,5318,151.79
09/06/1994,0.883,471.9,388,16.33,149.4,4804,151.79
09/07/1994,0.883,471,389.75,16.53,149.4,4804,151.79
09/08/1994,0.875,473.1,390.45,16.33,149.4,4989,151.79
09/09/1994,0.862,468.2,392,16.22,149.4,5272,151.79
